Table,Record Name,Column,Database Word,Fixed Display Word,Severity,Play Store Risk
"products_99","Pure Bhimseni Camphor","description","100%","traditionally","High","Misleading/Medical claim"
"products_99","Shree Yantra Coin","description","Wealth","Prosperity","High","Misleading/Medical claim"
"poojas","Shiv Puja","about_description","Heal","Peace","High","Misleading/Medical claim"
"poojas","राम महायज्ञ","description","इलाज","शांति","High","Misleading/Medical claim"
"poojas","राम महायज्ञ","about_description","इलाज","शांति","High","Misleading/Medical claim"
"poojas","धनद लक्ष्मी प्रयोग","name","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","धनद लक्ष्मी प्रयोग","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","धनद लक्ष्मी प्रयोग","tagline","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","धनद लक्ष्मी प्रयोग","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","व्यापार वद्धि (लक्ष्मी मंत्र) प्रयोग","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","व्यापार वद्धि (लक्ष्मी मंत्र) प्रयोग","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","लक्ष्मी प्राप्ती प्रयोग","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","लक्ष्मी प्राप्ती प्रयोग","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","श्री अष्ट लक्ष्मी महायज्ञ","description","अमीर","सौभाग्यशाली","High","Misleading/Medical claim"
"poojas","श्री अष्ट लक्ष्मी महायज्ञ","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","श्री अष्ट लक्ष्मी महायज्ञ","about_description","अमीर","सौभाग्यशाली","High","Misleading/Medical claim"
"poojas","श्री अष्ट लक्ष्मी महायज्ञ","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","रजत और गोल्ड गाय सेवा","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","रजत और गोल्ड गाय सेवा","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","वट सावित्री पूजा","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","वट सावित्री पूजा","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","Kali Puja","about_description","Magic","Divine Energy","High","Misleading/Medical claim"
"poojas","गायचर भूमि दान / गाय चराई के लिए भूमि","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","गायचर भूमि दान / गाय चराई के लिए भूमि","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","Lakshmi Puja","tagline","Wealth","Prosperity","High","Misleading/Medical claim"
"poojas","Lakshmi Puja","about_description","Wealth","Prosperity","High","Misleading/Medical claim"
"poojas","पार्थिव शिवलिंग पूजा","description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","पार्थिव शिवलिंग पूजा","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","पार्थिव शिवलिंग पूजा","about_description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","पार्थिव शिवलिंग पूजा","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","विष्णु सहस्रनाम","description","बीमारी","असंतुलन","High","Misleading/Medical claim"
"poojas","विष्णु सहस्रनाम","about_description","बीमारी","असंतुलन","High","Misleading/Medical claim"
"poojas","ललिता सहस्रानम","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","ललिता सहस्रानम","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","ऐश्वर्या लक्ष्मी पूजा","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","ऐश्वर्या लक्ष्मी पूजा","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","देवी कामक्षी","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","देवी कामक्षी","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","महाकाल मंदिर पूजा","description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","महाकाल मंदिर पूजा","about_description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","Durga Puja","about_description","Immediate","Immediate","High","Misleading/Medical claim"
"poojas","Durga Puja","about_description","Heal","Peace","High","Misleading/Medical claim"
"poojas","श्री हनुमान पूजन और यज्ञ","description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","श्री हनुमान पूजन और यज्ञ","description","बीमारी","असंतुलन","High","Misleading/Medical claim"
"poojas","श्री हनुमान पूजन और यज्ञ","about_description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","श्री हनुमान पूजन और यज्ञ","about_description","बीमारी","असंतुलन","High","Misleading/Medical claim"
"poojas","Pitru Dosh Puja","tagline","Heal","Peace","High","Misleading/Medical claim"
"poojas","Pitru Dosh Puja","about_description","Heal","Peace","High","Misleading/Medical claim"
"poojas","Guru Shanti Puja","tagline","Wealth","Prosperity","High","Misleading/Medical claim"
"poojas","Guru Shanti Puja","about_description","Wealth","Prosperity","High","Misleading/Medical claim"
"poojas","Budh Shanti Puja","about_description","Heal","Peace","High","Misleading/Medical claim"
"poojas","Graha Shanti Puja","about_description","Heal","Peace","High","Misleading/Medical claim"
"poojas","Graha Shanti Puja","about_description","Wealth","Prosperity","High","Misleading/Medical claim"
"poojas","Ganesh Puja","about_description","Sure","Sacred","High","Misleading/Medical claim"
"poojas","महामृत्यंजय मंत्र जप","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","महामृत्यंजय मंत्र जप","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","गृह प्रवेश पूजा ","description","Heal","Peace","High","Misleading/Medical claim"
"poojas","गृह प्रवेश पूजा ","description","Wealth","Prosperity","High","Misleading/Medical claim"
"poojas","गृह प्रवेश पूजा ","description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","गृह प्रवेश पूजा ","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","गृह प्रवेश पूजा ","about_description","Heal","Peace","High","Misleading/Medical claim"
"poojas","गृह प्रवेश पूजा ","about_description","Wealth","Prosperity","High","Misleading/Medical claim"
"poojas","गृह प्रवेश पूजा ","about_description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","गृह प्रवेश पूजा ","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","सप्तशती या चांडी पाठ और यज्ञ","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","सप्तशती या चांडी पाठ और यज्ञ","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","भात पूजन द्वारा मंगल ग्रह दोष की शांति","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","भात पूजन द्वारा मंगल ग्रह दोष की शांति","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","कार्य सिद्धि प्रयोग ","description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","कार्य सिद्धि प्रयोग ","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","कार्य सिद्धि प्रयोग ","about_description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","कार्य सिद्धि प्रयोग ","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","श्री रामरक्षा स्तोत्र","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","श्री रामरक्षा स्तोत्र","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","बागलामुखी साधना और सिद्धि पूजा","name","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","बागलामुखी साधना और सिद्धि पूजा","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","बागलामुखी साधना और सिद्धि पूजा","tagline","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","बागलामुखी साधना और सिद्धि पूजा","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","गणेश पूजा","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","गणेश पूजा","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","काली पूजा और यज्ञ","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","काली पूजा और यज्ञ","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","शिव महिमा स्तोत्र","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","शिव महिमा स्तोत्र","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","आयुष होमैम","description","बीमारी","असंतुलन","High","Misleading/Medical claim"
"poojas","आयुष होमैम","about_description","बीमारी","असंतुलन","High","Misleading/Medical claim"
"poojas","पितृ दोष निवारण पूजा","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","पितृ दोष निवारण पूजा","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","यंत्र निर्माण ","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","यंत्र निर्माण ","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","मृत संजीवनी प्रयोग","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","मृत संजीवनी प्रयोग","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","कार्यसिद्धि प्रयोग ","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","कार्यसिद्धि प्रयोग ","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","अती रुद्र महायज्ञ","description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","अती रुद्र महायज्ञ","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","अती रुद्र महायज्ञ","about_description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","अती रुद्र महायज्ञ","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","गुरु पूर्णिमा पूजा और यज्ञ","description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","गुरु पूर्णिमा पूजा और यज्ञ","about_description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","सत्यनारायण पूजा और कथा","description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","सत्यनारायण पूजा और कथा","about_description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","अंगारेश्वर महादेव पूजा","description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","अंगारेश्वर महादेव पूजा","about_description","धन","समृद्धि","High","Misleading/Medical claim"
"poojas","Navagraha Puja","about_description","Sure","Sacred","High","Misleading/Medical claim"
"poojas","शिव महापुराण","description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","शिव महापुराण","about_description","निश्चित","शुभ","High","Misleading/Medical claim"
"poojas","Vishnu Puja","about_description","Heal","Peace","High","Misleading/Medical claim"
"poojas","Vishnu Puja","about_description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Sheetala Ashtami (Basoda)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Test Festival: Diwali","name","Test","Test","Medium","Minimum Functionality"
"festivals","Test Festival: Diwali","description","Test","Test","Medium","Minimum Functionality"
"festivals","Varalakshmi Vratam","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Sheetala Ashtami (Basoda)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Varalakshmi Vratam","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Varalakshmi Vratam","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Sheetala Ashtami (Basoda)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Varalakshmi Vratam","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Sheetala Ashtami (Basoda)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Varalakshmi Vratam","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Sheetala Ashtami (Basoda)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Varalakshmi Vratam","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Sheetala Ashtami (Basoda)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Varalakshmi Vratam","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Sheetala Ashtami (Basoda)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Varalakshmi Vratam","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Sheetala Ashtami (Basoda)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Varalakshmi Vratam","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Sheetala Ashtami (Basoda)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Varalakshmi Vratam","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Wealth","Prosperity","High","Misleading/Medical claim"
"festivals","Sheetala Ashtami (Basoda)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Heal","Peace","High","Misleading/Medical claim"
"festivals","Dhanteras (Dhanatrayodashi)","description","Wealth","Prosperity","High","Misleading/Medical claim"
