id,name,slug,description,date,month,year,images,content,seo_title,seo_description,is_active,created_at,updated_at
90000001-0001-4000-8000-000000000001,Makar Sankranti,makar-sankranti-2026,"The harvest festival marking the sun's transition into Capricorn. Celebrated with kite flying and holy dips.",2026-01-14,January,2026,"[""/logo.png""]","{""rituals"": [""Kite flying"", ""Holy bath in sacred rivers"", ""Til-gul sweets exchange""], ""significance"": ""Marks the end of winter solstice and start of longer days"", ""regional_names"": {""Punjab"": ""Lohri"", ""Tamil Nadu"": ""Pongal"", ""Maharashtra"": ""Makar Sankranti""}}","Makar Sankranti 2026 - Kite Festival & Traditions","Celebrate Makar Sankranti 2026 on January 14. Discover kite flying traditions, holy bath rituals, and regional harvest customs.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000002-0002-4000-8000-000000000002,Basant Panchami,basant-panchami-2026,"Festival dedicated to Goddess Saraswati, marking the arrival of spring.",2026-01-23,January,2026,"[""/logo.png""]","{""rituals"": [""Saraswati Puja"", ""Wearing yellow clothes"", ""Initiation of learning for children""], ""significance"": ""Worship of the goddess of knowledge, arts, and music"", ""best_celebrations"": [""Varanasi"", ""Kolkata"", ""North India""]}","Basant Panchami 2026 - Saraswati Puja Date & Vidhi","Basant Panchami 2026 on January 23. Worship Goddess Saraswati and celebrate the Vasant season with traditional rituals.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000003-0003-4000-8000-000000000003,Maha Shivaratri,maha-shivaratri-2026,"The great night of Lord Shiva, observed with fasting and night-long vigil.",2026-02-15,February,2026,"[""/logo.png""]","{""rituals"": [""All-night vigil (Jagran)"", ""Abhishekam with milk and water"", ""Offering Bel leaves"", ""Fasting""], ""significance"": ""Marriage of Shiva and Shakti and the night of cosmic dance"", ""best_temples"": [""Kashi Vishwanath"", ""Mahakaleshwar"", ""Somnath""]}","Maha Shivaratri 2026 - Shiva Puja timings & Vrat","Maha Shivaratri 2026 on February 15. Learn about the rituals, fasting rules, and the spiritual significance of Shiva's great night.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000004-0004-4000-8000-000000000004,Holi,holi-2026,The vibrant festival of colors celebrating the victory of Prahlad over Holika.,2026-03-04,March,2026,"[""/logo.png""]","{""rituals"": [""Holika Dahan bonfire (March 3)"", ""Playing with colors (March 4)"", ""Traditional sweets (Gujiya)""], ""significance"": ""Victory of good over evil and the arrival of spring"", ""best_celebrations"": [""Mathura"", ""Vrindavan"", ""Jaipur""]}","Holi 2026 - Festival of Colors Date & Rituals","Holi 2026 on March 4. Celebrate the victory of good over evil with colors, Holika Dahan, and traditional Indian sweets.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000005-0005-4000-8000-000000000005,Gudi Padwa,gudi-padwa-2026,"The Marathi New Year, marking the start of the Chaitra month.",2026-03-19,March,2026,"[""/logo.png""]","{""rituals"": [""Hoisting the Gudi flag"", ""Purampoli preparation"", ""Rangoli decorations""], ""significance"": ""Victory of King Shalivahana and the start of the Hindu New Year"", ""best_celebrations"": [""Maharashtra"", ""Konkan""]}","Gudi Padwa 2026 - Marathi New Year & Traditions","Gudi Padwa 2026 on March 19. celebrate the Marathi New Year with traditional Gudi hoisting and festive rituals.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000006-0006-4000-8000-000000000006,Rama Navami,rama-navami-2026,"Birthday of Lord Rama, the seventh avatar of Lord Vishnu.",2026-03-27,March,2026,"[""/logo.png""]","{""rituals"": [""Ramatana recitation"", ""Special bhajans"", ""Ratharaya (processions)""], ""significance"": ""Birth of Maryada Purushottam Rama in Ayodhya"", ""best_places"": [""Ayodhya"", ""Rameswaram"", ""Bhadrachalam""]}","Rama Navami 2026 - Lord Rama Birthday & Puja","Rama Navami 2026 on March 27. Celebrate the birth of Lord Rama with devotional songs, fasting, and temple visits.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000007-0007-4000-8000-000000000007,Hanuman Jayanti,hanuman-jayanti-2026,"Birthday of Lord Hanuman, the symbol of strength and devotion.",2026-04-01,April,2026,"[""/logo.png""]","{""rituals"": [""Hanuman Chalisa recitation"", ""Applying Sindoor"", ""Offering Boondi Laddoo""], ""significance"": ""Birth of the vanara god Hanuman to Anjana and Kesari"", ""best_temples"": [""Sankat Mochan"", ""Hanuman Garhi""]}","Hanuman Jayanti 2026 - Date & Hanuman Chalisa vidhi","Hanuman Jayanti 2026 on April 1. Worship Lord Hanuman for strength and protection with special pujas and mantras.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000008-0008-4000-8000-000000000008,Akshaya Tritiya,akshaya-tritiya-2026,"An auspicious day for new beginnings and investments, especially gold.",2026-04-19,April,2026,"[""/logo.png""]","{""rituals"": [""Buying gold or silver"", ""Starting new ventures"", ""Daan (charity)""], ""significance"": ""The day is believed to bring eternal prosperity and success"", ""best_places"": [""Badrinath"", ""Puri""]}","Akshaya Tritiya 2026 - Auspicious Muhurat for Gold","Akshaya Tritiya 2026 on April 19. find the most lucky timings for buying gold and starting new businesses.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000009-0009-4000-8000-000000000009,Guru Purnima,guru-purnima-2026,"Day dedicated to spiritual and academic teachers (Gurus).",2026-07-29,July,2026,"[""/logo.png""]","{""rituals"": [""Guru Puja"", ""Satsangs"", ""Offerings to teachers""], ""significance"": ""Birthday of Ved Vyasa and appreciation for the removal of ignorance"", ""best_places"": [""Rishikesh"", ""Varanasi""]}","Guru Purnima 2026 - Date & Significance of Guru","Guru Purnima 2026 on July 29. Honor your spiritual and secular teachers on this sacred full moon day.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000010-0010-4000-8000-000000000010,Raksha Bandhan,raksha-bandhan-2026,"Celebrating the sacred bond of protection between brothers and sisters.",2026-08-28,August,2026,"[""/logo.png""]","{""rituals"": [""Tying Rakhi"", ""Gift exchange"", ""Family feast""], ""significance"": ""Brother''s promise to protect the sister and sister''s prayers for him""}","Raksha Bandhan 2026 - Rakhi Muhurat & Traditions","Raksha Bandhan 2026 on August 28. Celebrate the love between siblings with rakhi tying and traditional rituals.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000011-0011-4000-8000-000000000011,Krishna Janmashtami,krishna-janmashtami-2026,"The birth of Lord Krishna, observed with midnight pujas and Dahi Handi.",2026-09-04,September,2026,"[""/logo.png""]","{""rituals"": [""Midnight Puja"", ""Dahi Handi (Sept 5)"", ""Rocking the cradle of baby Krishna""], ""significance"": ""Descent of Lord Krishna on Earth in Mathura prison"", ""best_celebrations"": [""Mathura"", ""Vrindavan"", ""Mumbai""]}","Krishna Janmashtami 2026 - Puja Timings & Dahi Handi","Krishna Janmashtami 2026 on September 4. celebrate the birth of Lord Krishna with devotion, fasting, and joy.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000012-0012-4000-8000-000000000012,Ganesh Chaturthi,ganesh-chaturthi-2026,"The arrival of Lord Ganesha on earth, celebrated with elaborate idol installations.",2026-09-14,September,2026,"[""/logo.png""]","{""rituals"": [""Idol Sthapana"", ""Modak offerings"", ""Daily Aarti"", ""Visarjan (immersion)""], ""significance"": ""Commemorating the birthday of the elephant-headed god"", ""best_celebrations"": [""Mumbai"", ""Pune"", ""Hyderabad""]}","Ganesh Chaturthi 2026 - Sthapana Muhurat & Visarjan","Ganesh Chaturthi 2026 starting September 14. A 10-day celebration of wisdom, prosperity, and the elephant god.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000013-0013-4000-8000-000000000013,Sharad Navratri,sharad-navratri-2026,"Nine nights of worship dedicated to the nine forms of Goddess Durga.",2026-10-11,October,2026,"[""/logo.png""]","{""rituals"": [""Ghatasthapana"", ""Kanya Puja"", ""Garba and Dandiya"", ""Fasting""], ""significance"": ""Victory of Goddess Durga over the demon Mahishasura"", ""best_celebrations"": [""Gujarat"", ""West Bengal"", ""Mysuru""]}","Sharad Navratri 2026 - 9 Nights of Durga Worship","Sharad Navratri 2026 starting October 11. Explore the rituals, colors, and significance of the nine nights of Shakti.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000014-0014-4000-8000-000000000014,Dusshera,dusshera-2026,"Victory of Lord Rama over Ravana and Goddess Durga over Mahishasura.",2026-10-20,October,2026,"[""/logo.png""]","{""rituals"": [""Ravana Dahan effigy burning"", ""Durga Visarjan"", ""Shastra Puja""], ""significance"": ""Triumph of good over evil (Vijayadashami)"", ""best_celebrations"": [""Mysuru"", ""Kullu"", ""Delhi""]}","Dusshera 2026 - Vijayadashami Date & Ravana Dahan","Dusshera 2026 on October 20. Celebrate the victory of light over darkness with traditional effigy burning and processions.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000015-0015-4000-8000-000000000015,Karwa Chauth,karwa-chauth-2026,"Strict fast observed by married women for the well-being of their husbands.",2026-10-29,October,2026,"[""/logo.png""]","{""rituals"": [""Nirjala Vrat (no water)"", ""Sargi"", ""Moon sighting ceremonies""], ""significance"": ""Love and devotion in the marital bond"", ""best_celebrations"": [""North India""]}","Karwa Chauth 2026 - Moon timings & Puja Vidhi","Karwa Chauth 2026 on October 29. Essential guide to moonrise timings, sargi, and breaking the fast ritual.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000016-0016-4000-8000-000000000016,Dhanteras,dhanteras-2026,"Opening day of the Diwali festival, devoted to the god of health, Dhanvantari.",2026-11-06,November,2026,"[""/logo.png""]","{""rituals"": [""Buying utensils or jewelry"", ""Deep Puja"", ""Buying broom""], ""significance"": ""Emergence of Dhanvantari with the jar of elixir (Amrit)"", ""best_celebrations"": [""All over India""]}","Dhanteras 2026 - Auspicious Shopping Timings","Dhanteras 2026 on November 6. Start the Diwali festivities by inviting wealth and good health into your home.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000017-0017-4000-8000-000000000017,Diwali,diwali-2026,The grand festival of lights celebrating the return of Lord Rama to Ayodhya.,2026-11-08,November,2026,"[""/logo.png""]","{""rituals"": [""Lakshmi Puja"", ""Lighting Diyas"", ""Fireworks"", ""Sweets Distribution""], ""significance"": ""Victory of light over darkness and knowledge over ignorance"", ""best_celebrations"": [""Ayodhya"", ""Varanasi"", ""Amritsar""]}","Diwali 2026 - Lakshmi Puja Muhurat & Celebrations","Diwali 2026 on November 8. Complete guide to puja timings, decorations, and celebrating the festival of lights.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000018-0018-4000-8000-000000000018,Govardhan Puja,govardhan-puja-2026,"Worship of the Govardhan Hill and cows, following Diwali.",2026-11-09,November,2026,"[""/logo.png""]","{""rituals"": [""Annakut (heap of food)"", ""Cow worship"", ""Circumambulating the hill""], ""significance"": ""Lord Krishna protecting people from Indra's storms"", ""best_celebrations"": [""Mathura"", ""Vrindavan""]}","Govardhan Puja 2026 - Annakut Vidhi & Story","Govardhan Puja 2026 on November 9. Celebrate the divine protection of Lord Krishna with Annakut offerings.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000019-0019-4000-8000-000000000019,Bhai Dooj,bhai-dooj-2026,"Celebrating the love and lifelong bond between brothers and sisters.",2026-11-10,November,2026,"[""/logo.png""]","{""rituals"": [""Tilak Ceremony"", ""Gift giving"", ""Sister's feast for brother""], ""significance"": ""Yama visiting his sister Yamuna and blessing the sibling bond""}","Bhai Dooj 2026 - Tika Muhurat & Sibling Love","Bhai Dooj 2026 on November 10. Celebrate the lasting bond between brothers and sisters with traditional tilak rituals.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000020-0020-4000-8000-000000000020,Chhath Puja,chhath-puja-2026,"Solar worship festival dedicated to the Sun God and Chhathi Maiya.",2026-11-14,November,2026,"[""/logo.png""]","{""rituals"": [""Arghya to rising and setting sun"", ""Holy bath"", ""Thekua offerings""], ""significance"": ""Gratitude to the Sun for sustaining life on earth"", ""best_celebrations"": [""Bihar"", ""Jharkhand"", ""Eastern UP""]}","Chhath Puja 2026 - Arghya Timings & Rituals","Chhath Puja 2026 on November 14. An ancient Vedic festival of sun worship, discipline, and devotion.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
90000021-0021-4000-8000-000000000021,Kartik Purnima,kartik-purnima-2026,"The festival of lights of the gods (Dev Deepawali).",2026-11-24,November,2026,"[""/logo.png""]","{""rituals"": [""Lighting lamps on river banks"", ""Holy dip"", ""Vishnu Puja""], ""significance"": ""Defeat of Tripurasura and the appearance of Matsya avatar"", ""best_celebrations"": [""Varanasi"", ""Pushkar""]}","Kartik Purnima 2026 - Dev Deepawali in Varanasi","Kartik Purnima 2026 on November 24. Experience the majestic Dev Deepawali celebration on the ghats of Kashi.",true,2026-02-18 19:00:00.000000+00,2026-02-18 19:00:00.000000+00
EOF
